"33. СРЕДСТВА ДИСПЕТЧЕРСКОГО, ТЕХНОЛОГИЧЕСКОГО УПРАВЛЕНИЯ И СВЯЗИ"      

"Наименование оборудования" Тип "Дата ввода в эксплуатацию" "Место расположения" "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО"
"Коммутатор WS-C2950-24-24*10/100TX" ПанелЩитШкафСвяз 31.10.2006 "Оборудование связи"   
"Коммутатор WS-C2950-24-24*10/100TX" ПанелЩитШкафСвяз 31.10.2006 "Оборудование связи"   
"Шкаф №42 РЩ 110кВ управления оперативным" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф №44 РЩ 110 управления оперативным т" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф №9 РЩ 110кВ с автоматическими выклю" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф №42 РЩ 330 кВ с автоматами(оператив" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"FCT-CDMA.24, абон.р/станц(К1) с антенной" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"р/телефон Nokia 3120 деж-пс 750 (сторно)" "Оборудование радиосвязи" 01.01.1900 "Оборудование связи"   
"Шкаф управления выключателем типа AF 201" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф управления выключателем типа AF 201" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф распределительный ПР11-УХЛ1 ЩРП №1" "Шкаф распределительный" 30.11.2007 "Оборудование СДТУ"   
"Шкаф распределительный ПР11-УХЛ1 ЩРП №1" "Шкаф распределительный" 30.11.2007 "Оборудование СДТУ"   
"Шкаф распределительный ПР11-УХЛ1 ЩРП №2" "Шкаф распределительный" 30.11.2007 "Оборудование СДТУ"   
"Шкаф распределительный ПР11-УХЛ1 ЩРП №2" "Шкаф распределительный" 30.11.2007 "Оборудование СДТУ"   
