"25.    ДАННЫЕ ОБ ИСПЫТАНИЯХ"     
"Ввод СН 110 ф.С" 01.05.2018 P02910181353 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000539
"Ввод ВН 500 ф.В" 01.05.2018 P02910182329 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000540
"Ввод ВН 500 ф.С" 01.05.2018 P02910182329 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000540
"Ввод СН 110 ф.А" 01.05.2018 P02910182329 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000540
"Ввод СН 110 ф.В" 01.05.2018 P02910182329 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000540
"Ввод СН 110 ф.С" 01.05.2018 P02910182329 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000540
АТ-2 01.05.2018 P02910182329 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000540
"РПН СН-220 кВ" 01.05.2018 P02910182329 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000540
"Ввод ВН-220кВ ф.A" 01.05.2018 P02910182136 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000541
"Ввод ВН-220кВ ф.B" 01.05.2018 P02910182136 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000541
"Ввод ВН-220кВ ф.C" 01.05.2018 P02910182136 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000541
"РПН ВН-220кВ" 01.05.2018 P02910182136 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000541
Т-1 01.05.2018 P02910182136 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000541
"РПН ВН-220кВ" 01.05.2018 P02910182251 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000542
"Ввод ВН-220кВ ф.C" 01.05.2018 P02910182251 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000542
"Ввод ВН-220кВ ф.B" 01.05.2018 P02910182251 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000542
"Ввод ВН-220кВ ф.A" 01.05.2018 P02910182251 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000542
Т-2 01.05.2018 P02910182251 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-18/ОСМОТР/000542
АТ-2 13.12.2017 P02910182329 "ИСПЫТАНИЙ СИЛОВОГО ТРЁХОБМОТОЧНОГО ТРЕХФАЗНОГО АВТОТРАНСФОРМАТОРА"  0291-17/Т_АТ3/000719
АТ-2 01.08.2017 P02910164912 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-17/ОСМОТР/000150
"Ввод СН 110 ф.С" 01.08.2017 P02910164912 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-17/ОСМОТР/000150
"Ввод СН 110 ф.В" 01.08.2017 P02910164912 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-17/ОСМОТР/000150
"Ввод СН 110 ф.А" 01.08.2017 P02910164912 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-17/ОСМОТР/000150
"Ввод ВН 500 ф.С" 01.08.2017 P02910164912 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-17/ОСМОТР/000150
"Ввод ВН 500 ф.В" 01.08.2017 P02910164912 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-17/ОСМОТР/000150
АТ-1 27.03.2018 P02910181353 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-18/ХАРГ/000114
АТ-2 19.01.2018 P02910182329 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-18/ХАРГ/000149
"Ввод ВН-220кВ ф.C" 27.02.2018 P02910182251 "ИСПЫТАНИЙ ВЫСОКОВОЛЬТНЫХ ВВОДОВ С RIP ИЗОЛЯЦИЕЙ"  0291-18/ВТИ/000241
"Ввод ВН-220кВ ф.B" 27.02.2018 P02910182251 "ИСПЫТАНИЙ ВЫСОКОВОЛЬТНЫХ ВВОДОВ С RIP ИЗОЛЯЦИЕЙ"  0291-18/ВТИ/000241
"Ввод ВН-220кВ ф.A" 27.02.2018 P02910182251 "ИСПЫТАНИЙ ВЫСОКОВОЛЬТНЫХ ВВОДОВ С RIP ИЗОЛЯЦИЕЙ"  0291-18/ВТИ/000241
Т-2 30.11.2017 P02910182251 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-17/ХАРГ/000349
Т-1 30.11.2017 P02910182136 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-17/ХАРГ/000362
АТ-1 25.05.2020 P02910257633 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-20/ФХА_МЭ/001938
АТ-1 27.05.2020 P02910257793 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-20/ФХА_МЭ/002049
"РПН СН-110 кВ" 27.05.2020 P02910257793 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-20/ФХА_МЭ/002050
"РПН СН-110 кВ" 27.05.2020 P02910257633 "ХРОМАТОГРАФИЧЕСКОГО АНАЛИЗА ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ РПН"  0291-20/АРГРПН/002119
АТ-2 27.05.2020 V02910006274 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-20/ХАРГ_Т/002163
Т-1 29.05.2020 V02910006274 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-20/ФХА_МЭ/002197
"Ввод ВН 500 ф.А" 28.05.2020 P02910262545 "ИСПЫТАНИЙ ВЫСОКОВОЛЬТНЫХ ВВОДОВ С RIP ИЗОЛЯЦИЕЙ"  0291-20/ВВ_RIP/002846
"Ввод ВН 500 ф.В" 28.05.2020 P02910262545 "ИСПЫТАНИЙ ВЫСОКОВОЛЬТНЫХ ВВОДОВ С RIP ИЗОЛЯЦИЕЙ"  0291-20/ВВ_RIP/002846
"Ввод ВН 500 ф.С" 28.05.2020 P02910262545 "ИСПЫТАНИЙ ВЫСОКОВОЛЬТНЫХ ВВОДОВ С RIP ИЗОЛЯЦИЕЙ"  0291-20/ВВ_RIP/002846
"Ввод СН 110 ф.А" 28.05.2020 P02910262545 "ИСПЫТАНИЙ ВЫСОКОВОЛЬТНЫХ ВВОДОВ С RIP ИЗОЛЯЦИЕЙ"  0291-20/ВВ_RIP/002846
"Ввод СН 110 ф.В" 28.05.2020 P02910262545 "ИСПЫТАНИЙ ВЫСОКОВОЛЬТНЫХ ВВОДОВ С RIP ИЗОЛЯЦИЕЙ"  0291-20/ВВ_RIP/002846
"Ввод СН 110 ф.С" 28.05.2020 P02910262545 "ИСПЫТАНИЙ ВЫСОКОВОЛЬТНЫХ ВВОДОВ С RIP ИЗОЛЯЦИЕЙ"  0291-20/ВВ_RIP/002846
АТ-1 21.05.2020 P02910257633 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-20/ХАРГ_Т/001929
"РПН СН-110 кВ" 21.05.2020 P02910257633 "ХРОМАТОГРАФИЧЕСКОГО АНАЛИЗА ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ РПН"  0291-20/АРГРПН/002106
Т-1 08.04.2021 P02910283990 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-21/ХАРГ_Т/001290
"РПН ВН-220кВ" 08.04.2021 P02910283990 "ХРОМАТОГРАФИЧЕСКОГО АНАЛИЗА ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ РПН"  0291-21/АРГРПН/001291
Т-1 08.04.2021 P02910283990 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-21/ФХА_МЭ/001299
"РПН ВН-220кВ" 08.04.2021 P02910283990 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-21/ФХА_МЭ/001300
Т-1 27.07.2020 P02910263420 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-20/ХАРГ_Т/003458
"РПН ВН-220кВ" 27.07.2020 P02910263420 "ХРОМАТОГРАФИЧЕСКОГО АНАЛИЗА ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ РПН"  0291-20/АРГРПН/003461
Т-2 26.04.2021 P02910237297 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-21/ЛОПС/002077
Т-1 26.04.2021 P02910237223 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-21/ЛОПС/002076
АТ-1 26.04.2021 P02910237418 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-21/ЛОПС/002084
АТ-2 26.04.2021 P02910237419 "ЛИСТ ОСМОТРА ОБОРУДОВАНИЯ ПС"  0291-21/ЛОПС/002086
АТ-2 27.03.2020 V02910006160 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-20/ХАРГ_Т/000931
АТ-2 06.07.2020 V02910006400 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-20/ХАРГ_Т/002868
АТ-2 03.07.2020 V02910006400 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-20/ХАРГ_Т/002847
"РПН СН-220 кВ" 03.07.2020 V02910006400 "ХРОМАТОГРАФИЧЕСКОГО АНАЛИЗА ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ РПН"  0291-20/АРГРПН/002848
АТ-2 03.07.2020 V02910006400 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-20/ХАРГ_Т/002859
