"10. РАЗЪЕДИНИТЕЛИ, ОТДЕЛИТЕЛИ, КОРОТКОЗАМЫКАТЕЛИ"                   

"Напряжение, кВ" "Диспетчерское
наименование" "Тип разъединителя" "Вид (трехфазный, однофазный )" "Номинальный 
ток, А" "Инвентарный номер" "Заводской номер" Завод-изготовитель "Дата изготовления" "Дата ввода в эксплуатацию" "Тип привода" "Заводской номер привода" Ремонт   "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО" "Дата расчета ИТС" ИТС
            Вид Дата "Номер заказа АСУ ТОиР"     
 "ШР В 281 ф.А" ELK-EB3   0209-2-14-43479 2162455 ABB 2007 01.01.2008          
 "ЛР В 273 ф.В" ELK-EB3   0209-2-14-43478 2162967 ABB 2007 01.01.2009          
 "ЛР В 273 ф.С" ELK-EB3   0209-2-14-43478 2162968 ABB 2007 01.01.2009          
 "ЛР В 273 ф.А" ELK-EB3   0209-2-14-43478 2162966 ABB 2007 01.01.2009          
 "ШР В 273 ф.А" ELK-EB3   0209-2-14-43478 2162990 ABB 2007 01.01.2009          
 "ШР В 273 ф.С" ELK-EB3   0209-2-14-43478 2162992 ABB 2007 01.01.2009          
 "ШР В 273 ф.В" ELK-EB3   0209-2-14-43478 2162991 ABB 2007 01.01.2009          
 "ЛР В 271 ф.А" ELK-EB3   0209-2-14-43477 2162292 ABB 2007 01.01.2009          
 "ЛР В 271 ф.С" ELK-EB3   0209-2-14-43477 2162294 ABB 2007 01.01.2009          
 "ЛР В 271 ф.В" ELK-EB3   0209-2-14-43477 2162293 ABB 2007 01.01.2009          
 "ШР В 271 ф.В" ELK-EB3   0209-2-14-43477 2162921 ABB 2007 01.01.2009          
 "ШР В 271 ф.С" ELK-EB3   0209-2-14-43477 2162922 ABB 2007 01.01.2009          
 "ШР В 271 ф.А" ELK-EB3   0209-2-14-43477 2162920 ABB 2007 01.01.2009          
 "ТР В 263 ф.А" ELK-EB3   0209-2-14-43476 2162972 ABB 2007 01.01.2008          
 "ТР В 263 ф.С" ELK-EB3   0209-2-14-43476 2162974 ABB 2007 01.01.2008          
 "ТР В 263 ф.В" ELK-EB3   0209-2-14-43476 2162973 ABB 2007 01.01.2008          
 "ШР В 263 ф.А" ELK-EB3   0209-2-14-43476 2162987 ABB 2007 01.01.2008          
 "ШР В 263 ф.С" ELK-EB3   0209-2-14-43476 2162989 ABB 2007 01.01.2008          
 "ШР В 263 ф.В" ELK-EB3   0209-2-14-43476 2162988 ABB 2007 01.01.2008          
 "ТР В 261 ф.А" ELK-EB3   0209-2-14-43475 2162877 ABB 2007 01.01.2008          
 "ТР В 261 ф.С" ELK-EB3   0209-2-14-43475 2162879 ABB 2007 01.01.2008          
 "ТР В 261 ф.В" ELK-EB3   0209-2-14-43475 2162878 ABB 2007 01.01.2008          
 "ШР В 261 ф.А" ELK-EB3   0209-2-14-43475 2162127 ABB 2007 01.01.2008          
 "ШР В 261 ф.С" ELK-EB3   0209-2-14-43475 2162129 ABB 2007 01.01.2008          
 "ШР В 261 ф.В" ELK-EB3   0209-2-14-43475 2162128 ABB 2007 01.01.2008          
 "ТР В 253 ф.В" ELK-EB3   0209-2-14-43474 2162970 ABB 2007 01.01.2009          
 "ТР В 253 ф.С" ELK-EB3   0209-2-14-43474 2162971 ABB 2007 01.01.2009          
 "ТР В 253 ф.А" ELK-EB3   0209-2-14-43474 2162969 ABB 2007 01.01.2009          
 "ШР В 253 ф.А" ELK-EB3   0209-2-14-43474 2162964 ABB 2007 01.01.2009          
 "ШР В 253 ф.С" ELK-EB3   0209-2-14-43474 2162966 ABB 2007 01.01.2009          
 "ШР В 253 ф.В" ELK-EB3   0209-2-14-43474 2162965 ABB 2007 01.01.2009          
 "ТР В 251 ф.А" ELK-EB3   0209-2-14-43473 2162097 ABB 2007 01.01.2009          
 "ТР В 251 ф.С" ELK-EB3   0209-2-14-43473 2162099 ABB 2007 01.01.2009          
 "ТР В 251 ф.В" ELK-EB3   0209-2-14-43473 2162098 ABB 2007 01.01.2009          
 "ШР В 251 ф.А" ELK-EB3   0209-2-14-43473 2162455 ABB 2007 01.01.2009          
 "ШР В 251 ф.В" ELK-EB3   0209-2-14-43473 2162456 ABB 2007 01.01.2009          
 "ШР В 251 ф.С" ELK-EB3   0209-2-14-43473 2162457 ABB 2007 01.01.2009          
 "ЛР В 243 ф.А" ELK-EB3   0209-2-14-43472  ABB 2007 01.01.2008          
 "ЛР В 243 ф.С" ELK-EB3   0209-2-14-43472  ABB 2007 01.01.2008          
 "ЛР В 243 ф.В" ELK-EB3   0209-2-14-43472  ABB 2007 01.01.2009          
 "ШР В 243 ф.А" ELK-EB3   0209-2-14-43472  ABB 2007 01.01.2008          
 "ШР В 243 ф.С" ELK-EB3   0209-2-14-43472  ABB 2007 01.01.2008          
 "ШР В 243 ф.В" ELK-EB3   0209-2-14-43472  ABB 2007 01.01.2008          
 "ЛР В 231 ф.В" ELK-EB3   0209-2-14-43471  ABB 2007 01.01.2012          
 "ЛР В 231 ф.С" ELK-EB3   0209-2-14-43471  ABB 2007 01.01.2012          
 "ЛР В 231 ф.А" ELK-EB3   0209-2-14-43471  ABB 2007 01.01.2012          
 "ШР В 231 ф.В" ELK-EB3   0209-2-14-43471  ABB 2007 01.01.2012          
 "ШР В 231 ф.С" ELK-EB3   0209-2-14-43471  ABB 2007 01.01.2012          
 "ШР В 231 ф.А" ELK-EB3   0209-2-14-43471  ABB 2007 01.01.2012          
 "ЛР В 221 ф.В" ELK-EB3   0209-2-14-43470 2162510 ABB 2007 01.01.2009          
 "ЛР В 221 ф.С" ELK-EB3   0209-2-14-43470 2162511 ABB 2007 01.01.2009          
 "ЛР В 221 ф.А" ELK-EB3   0209-2-14-43470 2162509 ABB 2007 01.01.2009          
 "ШР В 221 ф.В" ELK-EB3   0209-2-14-43470 2162462 ABB 2007 01.01.2009          
 "ШР В 221 ф.С" ELK-EB3   0209-2-14-43470 2162463 ABB 2007 01.01.2009          
 "ШР В 221 ф.А" ELK-EB3   0209-2-14-43470 2162461 ABB 2007 01.01.2009          
500 "РР КВЛ 500 ТЭЦ-26-Очаково ф.А" "РПГ-2-500.II/3150 УХЛ1"   0209-2-14-60154   2013 01.01.2013          
500 "РР КВЛ 500 ТЭЦ-26-Очаково ф.С" "РПГ-2-500.II/3150 УХЛ1"      2013 01.01.2013          
500 "РР КВЛ 500 ТЭЦ-26-Очаково ф.В" "РПГ-2-500.II/3150 УХЛ1"   0209-2-14-60153   2013 01.01.2013          
500 "РР КВЛ 500 Западная-Очаково ф.А" "РПГ-2-500.II/3150 УХЛ1"   0209-2-14-60147   2013 01.01.2013          
500 "РР КВЛ 500 Западная-Очаково ф.С" "РПГ-2-500.II/3150 УХЛ1"   0209-2-14-60148   2013 01.01.2013          
500 "РР КВЛ 500 Западная-Очаково ф.В" "РПГ-2-500.II/3150 УХЛ1"      2013 01.01.2013          
 "ЗН 3 2 СШ 500" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43672   2007 01.01.2008          
 "ЗН 2 2 СШ 500" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43672   2007 01.01.2008          
 "ЗН 1 2 СШ 500" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43672   2007 01.01.2008          
 "ЗН 3 1 СШ 500" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43671   2007 01.01.2008          
 "ЗН 2 1 СШ 500" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43671   2007 01.01.2008          
 "ЗН 1 1 СШ 500" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43671   2007 01.01.2008          
 "РЛ 2 КВЛ 500 ТЭЦ-26-Очаково ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43462   2007 01.01.2008          
 "РЛ 2 КВЛ 500 ТЭЦ-26-Очаково ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43462   2007 01.01.2008          
 "РЛ 2 КВЛ 500 ТЭЦ-26-Очаково ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43462   2007 01.01.2008          
500 "РЛ 1 КВЛ 500 ТЭЦ-26-Очаково ф.А" "РПГ-2-500.II/3150 УХЛ1"   0209-2-14-60196   2007 01.01.2013          
500 "РЛ 1 КВЛ 500 ТЭЦ-26-Очаково ф.С" "РПГ-2-500.II/3150 УХЛ1"   0209-2-14-60202   2007 01.01.2013          
500 "РЛ 1 КВЛ 500 ТЭЦ-26-Очаково ф.В" "РПГ-2-500.II/3150 УХЛ1"   0209-2-14-60201   2007 01.01.2013          
 "РЛ КВЛ 500 ТЭЦ 25-Очаково 7 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43463   2007 01.01.2008          
 "РЛ КВЛ 500 ТЭЦ 25-Очаково 7 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43463   2007 01.01.2008          
 "РЛ КВЛ 500 ТЭЦ 25-Очаково 7 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43463   2007 01.01.2008          
 "РЛ КВЛ 500 Резерв ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43468   2007 01.01.2008          
 "РЛ КВЛ 500 Резерв ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43468   2007 01.01.2008          
 "РЛ КВЛ 500 Резерв ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43468   2007 01.01.2008          
500 "КР КВЛ 500 кВ Западная-Очаково 2 ц. ф.С" "РПГ-2-500.II/3150 УХЛ1"  3150 0209-2-12-43724   2014 01.01.2015          
500 "КР КВЛ 500 кВ Западная-Очаково 2 ц. ф.В" "РПГ-2-500.II/3150 УХЛ1"  3150 0209-2-12-43724   2014 01.01.2015          
500 "КР КВЛ 500 кВ Западная-Очаково 2 ц. ф.А" "РПГ-2-500.II/3150 УХЛ1"  3150 0209-2-12-43724   2014 01.01.2015          
500 "КР КВЛ 500 кВ Западная-Очаково 1 ц. ф.С" "РПГ-2-500.II/3150 УХЛ1"  3150 0209-2-12-43724   2014 01.01.2015          
500 "КР КВЛ 500 кВ Западная-Очаково 1 ц. ф.В" "РПГ-2-500.II/3150 УХЛ1"  3150 0209-2-12-43724   2014 01.01.2015          
500 "КР КВЛ 500 кВ Западная-Очаково 1 ц. ф.А" "РПГ-2-500.II/3150 УХЛ1"  3150 0209-2-12-43724   2014 01.01.2015          
500 "РЛ КВЛ 500 Западная-Очаково ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43465   2007 01.01.2008          
 "РЛ КВЛ 500 Западная-Очаково ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43465   2007 01.01.2008          
 "РЛ КВЛ 500 Западная-Очаково ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43465   2007 01.01.2008          
500 "РЛ КВЛ 500 Западная-Очаково 2ц ф.В" "РПГ-2-500.II/3150 УХЛ1"      2007 01.01.2013          
500 "РЛ КВЛ 500 Западная-Очаково 2ц ф.С" "РПГ-2-500.II/3150 УХЛ1"      2007 01.01.2013          
500 "РЛ КВЛ 500 Западная-Очаково 2ц ф.А" "РПГ-2-500.II/3150 УХЛ1"      2007 01.01.2013          
500 "РЛ КВЛ 500 Западная-Очаково 1ц ф.В" "РПГ-2-500.II/3150 УХЛ1"      2007 01.01.2013          
500 "РЛ КВЛ 500 Западная-Очаково 1ц ф.С" "РПГ-2-500.II/3150 УХЛ1"      2007 01.01.2013          
500 "РЛ КВЛ 500 Западная-Очаково 1ц ф.А" "РПГ-2-500.II/3150 УХЛ1"      2007 01.01.2013          
 "ШР В 542 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43469   2007 01.01.2008          
 "ШР В 542 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43469   2007 01.01.2008          
 "ШР В 542 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43469   2007 01.01.2008          
 "ТР В 542 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43469   2007 01.01.2008          
 "ТР В 542 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43469   2007 01.01.2008          
 "ТР В 542 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43469   2007 01.01.2008          
 "ШР В 541 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43468   2007 01.01.2008          
 "ШР В 541 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43468   2007 01.01.2008          
 "ШР В 541 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43468   2007 01.01.2008          
 "ЛР В 541 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43468   2007 01.01.2008          
 "ЛР В 541 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43468   2007 01.01.2008          
 "ЛР В 541 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43468   2007 01.01.2008          
 "ШР В 532 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43672   2007 01.01.2008          
 "ШР В 532 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43672   2007 01.01.2008          
 "ШР В 532 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43672   2007 01.01.2008          
 "ШР В 531 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43671   2007 01.01.2008          
 "ШР В 531 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43671   2007 01.01.2008          
 "ШР В 531 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43671   2007 01.01.2008          
 "ШР В 522 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43466   2007 01.01.2008          
 "ШР В 522 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43466   2007 01.01.2008          
 "ШР В 522 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43466   2007 01.01.2008          
 "ТР В 522 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43466   2007 01.01.2008          
 "ТР В 522 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43466   2007 01.01.2008          
 "ТР В 522 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43466   2007 01.01.2008          
 "ШР В 521 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43465   2007 01.01.2008          
 "ШР В 521 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43465   2007 01.01.2008          
 "ШР В 521 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43465   2007 01.01.2008          
 "ЛР В 521 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43465   2007 01.01.2008          
 "ЛР В 521 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43465   2007 01.01.2008          
 "ЛР В 521 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43465   2007 01.01.2008          
 "Р 2 В 520 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43464   2007 01.01.2008          
 "Р 2 В 520 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43464   2007 01.01.2008          
 "Р 2 В 520 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43464   2007 01.01.2008          
 "Р 1 В 520 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43464   2007 01.01.2008          
 "Р 1 В 520 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43464   2007 01.01.2008          
 "Р 1 В 520 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43464   2007 01.01.2008          
 "ШР В 512 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43463   2007 01.01.2008          
 "ШР В 512 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43463   2007 01.01.2008          
 "ШР В 512 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43463   2007 01.01.2008          
 "ЛР В 512 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43463   2007 01.01.2008          
 "ЛР В 512 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43463   2007 01.01.2008          
 "ЛР В 512 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43463   2007 01.01.2008          
 "ШР В 511 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43462   2007 01.01.2008          
 "ШР В 511 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43462   2007 01.01.2008          
 "ШР В 511 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43462   2007 01.01.2008          
 "ЛР В 511 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43462   2007 01.01.2008          
 "ЛР В 511 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43462   2007 01.01.2008          
 "ЛР В 511 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43462   2007 01.01.2008          
 "Р 2 В 510 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43461   2007 01.01.2008          
 "Р 2 В 510 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43461   2007 01.01.2008          
 "Р 2 В 510 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43461   2007 01.01.2008          
 "Р 1 В 510 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43461   2007 01.01.2008          
 "Р 1 В 510 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43461   2007 01.01.2008          
 "Р 1 В 510 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43461   2007 01.01.2008          
 "ТР 500 АТ-4" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43430   2007 01.01.2008          
 "ТР 500 АТ-3" "Разъединитель в ячейке КРУЭ ELK-TK3"      2007 01.01.2008          
 "ТР 500 АТ-2" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43428   2007 01.01.2008          
 "ТР 500 АТ-1" "Разъединитель в ячейке КРУЭ ELK-TK3"   0209-2-14-43427   2007 01.01.2008          
 "Р 2 В 540 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"  2000 0209-2-14-43467  "ООО «ABB»" 2007 01.01.2008          
 "Р 2 В 540 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"  2000 0209-2-14-43467  "ООО «ABB»" 2007 01.01.2008          
 "Р 2 В 540 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"  2000 0209-2-14-43467  "ООО «ABB»" 2007 01.01.2008          
 "Р 1 В 540 ф.С" "Разъединитель в ячейке КРУЭ ELK-TK3"  2000 0209-2-14-43467  "ООО «ABB»" 2007 01.01.2008          
 "Р 1 В 540 ф.В" "Разъединитель в ячейке КРУЭ ELK-TK3"  2000 0209-2-14-43467  "ООО «ABB»" 2007 01.01.2008          
 "Р 1 В 540 ф.А" "Разъединитель в ячейке КРУЭ ELK-TK3"  2000 0209-2-14-43467  "ООО «ABB»" 2007 01.01.2008          
10 "Р ДГК-4" "Полюс разъединителя"       01.01.1900          
10 "Р ДГК-2" "Полюс разъединителя"       01.01.1900          
10 "Р ДГК-3" "Полюс разъединителя"       01.01.1900          
10 "Р ДГК-1" "Полюс разъединителя"       01.01.1900          
